Sample	AlignsTo	IsMaternal	Mother
melXsim_cyc14C_rep3_sl20_alt	alt	FALSE	mel
melXsim_cyc14C_rep3_sl20_ref	ref	TRUE	mel
melXsim_cyc14C_rep3_sl21_alt	alt	FALSE	mel
melXsim_cyc14C_rep3_sl21_ref	ref	TRUE	mel
melXsim_cyc14C_rep3_sl22_alt	alt	FALSE	mel
melXsim_cyc14C_rep3_sl22_ref	ref	TRUE	mel
melXsim_cyc14C_rep3_sl23_alt	alt	FALSE	mel
melXsim_cyc14C_rep3_sl23_ref	ref	TRUE	mel
melXsim_cyc14C_rep3_sl24_alt	alt	FALSE	mel
melXsim_cyc14C_rep3_sl24_ref	ref	TRUE	mel
melXsim_cyc14C_rep3_sl25_alt	alt	FALSE	mel
melXsim_cyc14C_rep3_sl25_ref	ref	TRUE	mel
melXsim_cyc14C_rep3_sl26_alt	alt	FALSE	mel
melXsim_cyc14C_rep3_sl26_ref	ref	TRUE	mel
melXsim_cyc14C_rep3_sl27_alt	alt	FALSE	mel
melXsim_cyc14C_rep3_sl27_ref	ref	TRUE	mel
simXmel_cyc14C_rep1_sl01_alt	alt	TRUE	sim
simXmel_cyc14C_rep1_sl01_ref	ref	FALSE	sim
simXmel_cyc14C_rep1_sl02_alt	alt	TRUE	sim
simXmel_cyc14C_rep1_sl02_ref	ref	FALSE	sim
simXmel_cyc14C_rep1_sl03_alt	alt	TRUE	sim
simXmel_cyc14C_rep1_sl03_ref	ref	FALSE	sim
simXmel_cyc14C_rep1_sl04_alt	alt	TRUE	sim
simXmel_cyc14C_rep1_sl04_ref	ref	FALSE	sim
simXmel_cyc14C_rep1_sl05_alt	alt	TRUE	sim
simXmel_cyc14C_rep1_sl05_ref	ref	FALSE	sim
simXmel_cyc14C_rep1_sl06_alt	alt	TRUE	sim
simXmel_cyc14C_rep1_sl06_ref	ref	FALSE	sim
simXmel_cyc14C_rep1_sl07_alt	alt	TRUE	sim
simXmel_cyc14C_rep1_sl07_ref	ref	FALSE	sim
simXmel_cyc14C_rep1_sl08_alt	alt	TRUE	sim
simXmel_cyc14C_rep1_sl08_ref	ref	FALSE	sim
simXmel_cyc14C_rep1_sl09_alt	alt	TRUE	sim
simXmel_cyc14C_rep1_sl09_ref	ref	FALSE	sim
simXmel_cyc14C_rep1_sl10_alt	alt	TRUE	sim
simXmel_cyc14C_rep1_sl10_ref	ref	FALSE	sim
simXmel_cyc14C_rep1_sl11_alt	alt	TRUE	sim
simXmel_cyc14C_rep1_sl11_ref	ref	FALSE	sim
simXmel_cyc14C_rep1_sl12_alt	alt	TRUE	sim
simXmel_cyc14C_rep1_sl12_ref	ref	FALSE	sim
simXmel_cyc14C_rep1_sl13_alt	alt	TRUE	sim
simXmel_cyc14C_rep1_sl13_ref	ref	FALSE	sim
simXmel_cyc14C_rep1_sl14_alt	alt	TRUE	sim
simXmel_cyc14C_rep1_sl14_ref	ref	FALSE	sim
simXmel_cyc14C_rep1_sl15_alt	alt	TRUE	sim
simXmel_cyc14C_rep1_sl15_ref	ref	FALSE	sim
simXmel_cyc14C_rep1_sl16_alt	alt	TRUE	sim
simXmel_cyc14C_rep1_sl16_ref	ref	FALSE	sim
simXmel_cyc14C_rep1_sl17_alt	alt	TRUE	sim
simXmel_cyc14C_rep1_sl17_ref	ref	FALSE	sim
simXmel_cyc14C_rep1_sl18_alt	alt	TRUE	sim
simXmel_cyc14C_rep1_sl18_ref	ref	FALSE	sim
simXmel_cyc14C_rep1_sl19_alt	alt	TRUE	sim
simXmel_cyc14C_rep1_sl19_ref	ref	FALSE	sim
simXmel_cyc14C_rep1_sl20_alt	alt	TRUE	sim
simXmel_cyc14C_rep1_sl20_ref	ref	FALSE	sim
simXmel_cyc14C_rep1_sl21_alt	alt	TRUE	sim
simXmel_cyc14C_rep1_sl21_ref	ref	FALSE	sim
simXmel_cyc14C_rep1_sl22_alt	alt	TRUE	sim
simXmel_cyc14C_rep1_sl22_ref	ref	FALSE	sim
simXmel_cyc14C_rep1_sl23_alt	alt	TRUE	sim
simXmel_cyc14C_rep1_sl23_ref	ref	FALSE	sim
simXmel_cyc14C_rep1_sl24_alt	alt	TRUE	sim
simXmel_cyc14C_rep1_sl24_ref	ref	FALSE	sim
simXmel_cyc14C_rep1_sl25_alt	alt	TRUE	sim
simXmel_cyc14C_rep1_sl25_ref	ref	FALSE	sim
simXmel_cyc14C_rep2_sl01_alt	alt	TRUE	sim
simXmel_cyc14C_rep2_sl01_ref	ref	FALSE	sim
